DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
231405901,2/16/2023,9/1/2021,1130,Pacific,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),14,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4500 S  CENTINELA                    AV
220311812,6/6/2022,1/6/2021,650,Southwest,THEFT OF IDENTITY,47,F,B,,Invest Cont,1700    BROWNING                     BL
221512293,7/14/2022,3/29/2021,1,N Hollywood,THEFT OF IDENTITY,19,F,W,,Invest Cont,5200    WHITSETT                     AV
231306440,2/16/2023,6/3/2021,1,Newton,THEFT OF IDENTITY,25,M,B,,Invest Cont,300 E  59TH                         PL
220113856,6/8/2022,12/15/2021,2030,Central,THEFT OF IDENTITY,50,M,H,,Invest Cont,700 N  ALAMEDA                      ST
221312523,6/7/2022,3/17/2021,950,Newton,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",0,X,X,,Adult Arrest,1200    MAPLE                        AV
221712695,7/7/2022,10/8/2021,1100,Devonshire,THEFT OF IDENTITY,72,F,O,,Invest Cont,11400    GHIBERTI                     WY
220515552,11/2/2022,8/1/2021,1,Harbor,KIDNAPPING,30,M,W,BLUNT INSTRUMENT,Invest Cont,500 W  ELBERON                      AV
220316891,9/16/2022,3/16/2021,820,Southwest,THEFT OF IDENTITY,28,M,B,,Invest Cont,2000 W  43RD                         ST
220315944,8/30/2022,12/6/2021,1200,Southwest,THEFT OF IDENTITY,74,F,B,,Invest Cont,4800    9TH                          AV
230504754,1/20/2023,9/29/2021,900,Harbor,VEHICLE - STOLEN,0,,,,Invest Cont,1500 W  PACIFIC COAST                HY
231906951,3/14/2023,9/1/2021,1200,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,O,,Invest Cont,13100    FELLOWS                      AV
220121966,10/5/2022,10/5/2021,1230,Central,THEFT PLAIN - PETTY ($950 & UNDER),28,F,I,,Invest Cont,800 N  ALAMEDA                      ST
220710708,6/21/2022,6/8/2021,1200,Wilshire,DOCUMENT FORGERY / STOLEN FELONY,57,F,O,,Invest Cont,4000 W  PICO                         BL
221512556,7/21/2022,7/1/2021,900,N Hollywood,INTIMATE PARTNER - AGGRAVATED ASSAULT,32,F,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,11900    WEDDINGTON                   ST
220911320,7/11/2022,1/6/2021,1400,Van Nuys,"BUNCO, GRAND THEFT",56,M,H,,Invest Cont,14900    VENTURA                      BL
221711442,7/21/2022,11/25/2021,1,Devonshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,11400    HASKELL                      AV
221115514,10/25/2022,12/19/2021,1200,Northeast,THEFT OF IDENTITY,42,F,H,,Invest Cont,1300 N  ALVARADO                     ST
221013339,8/26/2022,10/18/2021,1200,West Valley,THEFT OF IDENTITY,47,F,W,,Invest Cont,19200    LINNET                       ST
232009154,4/20/2023,4/20/2021,645,Olympic,TRESPASSING,-1,X,X,,Invest Cont,3100    WILSHIRE                     BL
221110972,6/29/2022,11/9/2021,1,Northeast,THEFT OF IDENTITY,25,M,W,,Invest Cont,3600    MONON                        ST
231609170,6/14/2023,11/15/2021,1200,Foothill,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,F,H,,Invest Cont,11100    LORNE                        ST
231405259,2/1/2023,10/31/2021,1730,Pacific,THEFT OF IDENTITY,65,M,B,,Invest Cont,4400    INGLEWOOD                    BL
222018566,12/12/2022,6/15/2021,1200,Olympic,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",59,M,W,,Invest Cont,500 S  BRONSON                      AV
222014758,9/7/2022,9/1/2021,1,Olympic,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",50,M,A,,Invest Cont,800 S  WESTERN                      AV
221419454,11/29/2022,5/30/2021,1230,Pacific,VEHICLE - STOLEN,0,,,,Invest Cont,1100    OCEAN FRONT                  WK
221511632,6/26/2022,11/9/2021,2154,N Hollywood,THEFT OF IDENTITY,53,F,W,,Invest Cont,5200    CORTEEN                      PL
221115158,10/16/2022,5/20/2021,1500,Northeast,VEHICLE - STOLEN,0,,,,Invest Cont,6400    GARVANZA                     AV
220219303,10/27/2022,4/9/2021,800,Rampart,THEFT OF IDENTITY,38,F,B,,Invest Cont,900 S  BURLINGTON                   AV
221018000,12/23/2022,12/7/2021,1210,West Valley,THEFT OF IDENTITY,53,M,W,,Invest Cont,16400    BOSQUE                       DR
